index,home_team,away_team,home_goals,away_goals,result,season
2048,Chelsea,Manchester City,2,1,H,2011-2012
2047,Stoke City,Tottenham Hotspur,2,1,H,2011-2012
2046,Sunderland,Blackburn Rovers,2,1,H,2011-2012
2045,West Bromwich Albion,Wigan Athletic,1,2,A,2011-2012
2044,Swansea City,Fulham,2,0,H,2011-2012
2043,Norwich City,Newcastle United,4,2,H,2011-2012
2042,Manchester United,Wolverhampton Wanderers,4,1,H,2011-2012
2050,Everton,Norwich City,1,1,D,2011-2012
2041,Liverpool,Queens Park Rangers,1,0,H,2011-2012
2039,Arsenal,Everton,1,0,H,2011-2012
2038,Fulham,Liverpool,1,0,H,2011-2012
2037,Wolverhampton Wanderers,Sunderland,2,1,H,2011-2012
2036,Everton,Stoke City,0,1,A,2011-2012
2035,Aston Villa,Manchester United,0,1,A,2011-2012
2034,Wigan Athletic,Arsenal,0,4,A,2011-2012
2033,Tottenham Hotspur,Bolton Wanderers,3,0,H,2011-2012
2032,Queens Park Rangers,West Bromwich Albion,1,1,D,2011-2012
2040,Bolton Wanderers,Aston Villa,1,2,A,2011-2012
2031,Manchester City,Norwich City,5,1,H,2011-2012
2051,Fulham,Bolton Wanderers,2,0,H,2011-2012
2054,Wigan Athletic,Chelsea,1,1,D,2011-2012
1986,Manchester United,Manchester City,1,6,A,2011-2012
2071,Liverpool,Blackburn Rovers,1,1,D,2011-2012
2070,Bolton Wanderers,Newcastle United,0,2,A,2011-2012
2069,Chelsea,Fulham,1,1,D,2011-2012
2068,Tottenham Hotspur,Chelsea,1,1,D,2011-2012
2067,Wigan Athletic,Liverpool,0,0,D,2011-2012
2066,Queens Park Rangers,Sunderland,2,3,A,2011-2012
2065,Fulham,Manchester United,0,5,A,2011-2012
2052,Newcastle United,Swansea City,0,0,D,2011-2012
2064,Everton,Swansea City,1,0,H,2011-2012
2062,Manchester City,Stoke City,3,0,H,2011-2012
2061,Aston Villa,Arsenal,1,2,A,2011-2012
2060,Blackburn Rovers,Bolton Wanderers,1,2,A,2011-2012
2059,Wolverhampton Wanderers,Norwich City,2,2,D,2011-2012
2058,Manchester City,Arsenal,1,0,H,2011-2012
2057,Tottenham Hotspur,Sunderland,1,0,H,2011-2012
2056,Aston Villa,Liverpool,0,2,A,2011-2012
2055,Queens Park Rangers,Manchester United,0,2,A,2011-2012
2063,Newcastle United,West Bromwich Albion,2,3,A,2011-2012
2030,Blackburn Rovers,Swansea City,4,2,H,2011-2012
2053,Wolverhampton Wanderers,Stoke City,1,2,A,2011-2012
2028,Liverpool,Manchester City,1,1,D,2011-2012
2005,Queens Park Rangers,Manchester City,2,3,A,2011-2012
2004,Manchester United,Sunderland,1,0,H,2011-2012
2003,Liverpool,Swansea City,0,0,D,2011-2012
2002,Blackburn Rovers,Chelsea,0,1,A,2011-2012
2001,Aston Villa,Norwich City,3,2,H,2011-2012
2000,Arsenal,West Bromwich Albion,3,0,H,2011-2012
1999,Newcastle United,Everton,2,1,?,2011-2012
1997,Tottenham Hotspur,Queens Park Rangers,3,1,H,2011-2012
2006,Wolverhampton Wanderers,Wigan Athletic,3,1,H,2011-2012
1996,West Bromwich Albion,Liverpool,0,2,?,2011-2012
1994,Swansea City,Bolton Wanderers,3,1,H,2011-2012
1993,Sunderland,Aston Villa,2,2,D,2011-2012
1992,Norwich City,Blackburn Rovers,3,3,D,2011-2012
1991,Manchester City,Wolverhampton Wanderers,3,1,H,2011-2012
1990,Chelsea,Arsenal,3,5,A,2011-2012
1989,Everton,Manchester United,0,1,A,2011-2012
2029,Newcastle United,Chelsea,0,3,A,2011-2012
1988,Queens Park Rangers,Chelsea,1,0,H,2011-2012
1995,Wigan Athletic,Fulham,0,2,A,2011-2012
2007,Bolton Wanderers,Stoke City,5,0,H,2011-2012
1998,Stoke City,Newcastle United,1,3,A,2011-2012
2009,Norwich City,Arsenal,1,2,A,2011-2012
2027,Swansea City,Aston Villa,0,0,D,2011-2012
2026,Arsenal,Fulham,1,1,D,2011-2012
2008,Fulham,Tottenham Hotspur,1,3,A,2011-2012
2025,West Bromwich Albion,Tottenham Hotspur,1,3,A,2011-2012
2024,Sunderland,Wigan Athletic,1,2,A,2011-2012
2023,Norwich City,Queens Park Rangers,2,1,H,2011-2012
2022,Manchester United,Newcastle United,1,1,D,2011-2012
2020,Bolton Wanderers,Everton,0,2,A,2011-2012
2019,Stoke City,Blackburn Rovers,3,1,H,2011-2012
2018,Tottenham Hotspur,Aston Villa,2,0,H,2011-2012
2021,Chelsea,Wolverhampton Wanderers,3,0,H,2011-2012
2017,Chelsea,Liverpool,1,2,A,2011-2012
2016,Swansea City,Manchester United,0,1,A,2011-2012
2015,Wigan Athletic,Blackburn Rovers,3,3,D,2011-2012
2014,West Bromwich Albion,Bolton Wanderers,2,1,H,2011-2012
2013,Sunderland,Fulham,0,0,D,2011-2012
2012,Stoke City,Queens Park Rangers,2,3,A,2011-2012
2011,Manchester City,Newcastle United,3,1,H,2011-2012
2010,Everton,Wolverhampton Wanderers,2,1,H,2011-2012
2528,West Bromwich Albion,Tottenham Hotspur,0,1,A,2012-2013
2521,Arsenal,Stoke City,1,0,H,2012-2013
2522,Everton,Aston Villa,3,3,D,2012-2013
2523,Newcastle United,Chelsea,3,2,H,2012-2013
2525,West Ham United,Swansea City,1,0,H,2012-2013
2527,Fulham,Manchester United,0,1,A,2012-2013
2526,Wigan Athletic,Southampton,2,2,D,2012-2013
2520,Queens Park Rangers,Norwich City,0,0,D,2012-2013
2524,Reading,Sunderland,2,1,H,2012-2013
2519,Reading,Chelsea,2,2,D,2012-2013
2511,Queens Park Rangers,Manchester City,0,0,D,2012-2013
2517,Fulham,West Ham United,3,1,H,2012-2013
2516,Norwich City,Tottenham Hotspur,1,1,D,2012-2013
2515,Everton,West Bromwich Albion,2,1,H,2012-2013
2514,Arsenal,Liverpool,2,2,D,2012-2013
2513,Sunderland,Swansea City,0,0,D,2012-2013
2512,Stoke City,Wigan Athletic,2,2,D,2012-2013
2510,Aston Villa,Newcastle United,1,2,A,2012-2013
2508,Southampton,Everton,0,0,D,2012-2013
2529,Manchester City,Liverpool,2,2,D,2012-2013
2509,Arsenal,West Ham United,5,1,H,2012-2013
2518,Manchester United,Southampton,2,1,H,2012-2013
2530,Tottenham Hotspur,Newcastle United,2,1,H,2012-2013
2550,Chelsea,West Bromwich Albion,1,0,H,2012-2013
2532,Norwich City,Fulham,0,0,D,2012-2013
2554,Stoke City,West Ham United,0,1,A,2012-2013
2507,Tottenham Hotspur,Manchester United,1,1,D,2012-2013
2553,Southampton,Queens Park Rangers,1,2,A,2012-2013
2552,Manchester United,Norwich City,4,0,H,2012-2013
2551,Everton,Reading,3,1,H,2012-2013
2549,West Ham United,Tottenham Hotspur,2,3,A,2012-2013
2548,Newcastle United,Southampton,4,2,H,2012-2013
2547,Manchester City,Chelsea,2,0,H,2012-2013
2546,West Bromwich Albion,Sunderland,2,1,H,2012-2013
2545,Reading,Wigan Athletic,0,3,A,2012-2013
2531,Chelsea,Wigan Athletic,4,1,H,2012-2013
2544,Queens Park Rangers,Manchester United,0,2,A,2012-2013
2542,Arsenal,Aston Villa,2,1,H,2012-2013
2541,Fulham,Stoke City,1,0,H,2012-2013
2540,Liverpool,Swansea City,5,0,H,2012-2013
2539,Liverpool,West Bromwich Albion,0,2,A,2012-2013
2538,Manchester United,Everton,2,0,H,2012-2013
2537,Aston Villa,West Ham United,2,1,H,2012-2013
2536,Southampton,Manchester City,3,1,H,2012-2013
2535,Swansea City,Queens Park Rangers,4,1,H,2012-2013
2534,Sunderland,Arsenal,0,1,A,2012-2013
2533,Stoke City,Reading,2,1,H,2012-2013
2543,Norwich City,Everton,2,1,H,2012-2013
2506,Chelsea,Arsenal,2,1,H,2012-2013
2463,Queens Park Rangers,West Bromwich Albion,1,2,A,2012-2013
2504,Wigan Athletic,Sunderland,2,3,A,2012-2013
2477,Queens Park Rangers,Liverpool,0,3,A,2012-2013
2476,Everton,Chelsea,1,2,A,2012-2013
2475,Arsenal,Newcastle United,7,3,H,2012-2013
2474,Stoke City,Southampton,3,3,D,2012-2013
2473,Reading,West Ham United,1,0,H,2012-2013
2472,Norwich City,Manchester City,3,4,A,2012-2013
2471,Manchester United,West Bromwich Albion,2,0,H,2012-2013
2470,Fulham,Swansea City,1,2,?,2012-2013
2469,Aston Villa,Wigan Athletic,0,3,A,2012-2013
2468,Sunderland,Tottenham Hotspur,1,2,A,2012-2013
2478,West Bromwich Albion,Fulham,1,2,A,2012-2013
2467,Stoke City,Liverpool,3,1,H,2012-2013
2465,Sunderland,Manchester City,1,0,H,2012-2013
2464,Reading,Swansea City,0,0,D,2012-2013
2462,Norwich City,Chelsea,0,1,A,2012-2013
2461,Manchester United,Newcastle United,4,3,H,2012-2013
2460,Fulham,Southampton,1,1,D,2012-2013
2459,Everton,Wigan Athletic,2,1,H,2012-2013
2458,Chelsea,Aston Villa,8,0,H,2012-2013
2457,Swansea City,Manchester United,1,1,D,2012-2013
2456,Liverpool,Fulham,4,0,H,2012-2013
2555,Sunderland,Fulham,2,2,D,2012-2013
2466,Aston Villa,Tottenham Hotspur,0,4,A,2012-2013
2505,West Bromwich Albion,Aston Villa,2,2,D,2012-2013
2479,Manchester City,Stoke City,3,0,H,2012-2013
2481,Tottenham Hotspur,Reading,3,1,H,2012-2013
2503,West Ham United,Queens Park Rangers,1,1,D,2012-2013
2502,Swansea City,Stoke City,3,1,H,2012-2013
2501,Newcastle United,Reading,1,2,A,2012-2013
2500,Manchester City,Fulham,2,0,H,2012-2013
2499,Liverpool,Norwich City,5,0,H,2012-2013
2498,Chelsea,Southampton,2,2,D,2012-2013
2497,Arsenal,Manchester City,0,2,A,2012-2013
2496,Manchester United,Liverpool,2,1,H,2012-2013
2495,Sunderland,West Ham United,3,0,H,2012-2013
2494,Stoke City,Chelsea,0,4,A,2012-2013
2480,Swansea City,Aston Villa,2,2,D,2012-2013
2493,Reading,West Bromwich Albion,3,2,H,2012-2013
2491,Fulham,Wigan Athletic,1,1,D,2012-2013
2490,Everton,Swansea City,0,0,D,2012-2013
2489,Aston Villa,Southampton,0,1,A,2012-2013
2488,Queens Park Rangers,Tottenham Hotspur,0,0,D,2012-2013
2487,Newcastle United,Everton,1,2,A,2012-2013
2486,Liverpool,Sunderland,3,0,H,2012-2013
2485,Chelsea,Queens Park Rangers,0,1,A,2012-2013
2484,Southampton,Arsenal,1,1,D,2012-2013
2483,Wigan Athletic,Manchester United,0,4,A,2012-2013
2482,West Ham United,Norwich City,2,1,H,2012-2013
2492,Norwich City,Newcastle United,0,0,D,2012-2013
2556,Swansea City,Newcastle United,1,0,H,2012-2013
2643,Fulham,Liverpool,1,3,A,2012-2013
2558,Tottenham Hotspur,Arsenal,2,1,H,2012-2013
2632,West Ham United,Newcastle United,0,0,D,2012-2013
2631,West Bromwich Albion,Wigan Athletic,2,3,A,2012-2013
2630,Tottenham Hotspur,Southampton,1,0,H,2012-2013
2629,Swansea City,Manchester City,0,0,D,2012-2013
2628,Norwich City,Aston Villa,1,2,A,2012-2013
2627,Fulham,Reading,2,4,A,2012-2013
2626,Aston Villa,Sunderland,6,1,H,2012-2013
2625,Arsenal,Manchester United,1,1,D,2012-2013
2624,Chelsea,Swansea City,2,0,H,2012-2013
2623,Reading,Queens Park Rangers,0,0,D,2012-2013
2633,Queens Park Rangers,Arsenal,0,1,A,2012-2013
2622,Newcastle United,Liverpool,0,6,A,2012-2013
2620,Stoke City,Norwich City,1,0,H,2012-2013
2619,Southampton,West Bromwich Albion,0,3,A,2012-2013
2618,Everton,Fulham,1,0,H,2012-2013
2617,Manchester City,West Ham United,2,1,H,2012-2013
2616,Manchester United,Aston Villa,3,0,H,2012-2013
2615,Liverpool,Chelsea,2,2,?,2012-2013
2614,Tottenham Hotspur,Manchester City,3,1,H,2012-2013
2613,West Ham United,Wigan Athletic,2,0,H,2012-2013
2612,West Bromwich Albion,Newcastle United,1,1,D,2012-2013
2611,Swansea City,Southampton,0,0,D,2012-2013
2621,Wigan Athletic,Tottenham Hotspur,2,2,D,2012-2013
2610,Sunderland,Everton,1,0,H,2012-2013
2634,Liverpool,Everton,0,0,D,2012-2013
2636,Sunderland,Stoke City,1,1,D,2012-2013
2659,Wigan Athletic,Aston Villa,2,2,D,2012-2013
2658,West Ham United,Reading,4,2,H,2012-2013
2657,West Bromwich Albion,Manchester United,5,5,D,2012-2013
2656,Tottenham Hotspur,Sunderland,1,0,H,2012-2013
2655,Swansea City,Fulham,0,3,A,2012-2013
2654,Southampton,Stoke City,1,1,D,2012-2013
2653,Newcastle United,Arsenal,0,1,A,2012-2013
2652,Manchester City,Norwich City,2,3,A,2012-2013
2651,Liverpool,Queens Park Rangers,1,0,H,2012-2013
2650,Chelsea,Everton,2,1,H,2012-2013
2635,Manchester United,Chelsea,0,1,A,2012-2013
2649,Reading,Manchester City,0,2,A,2012-2013
2647,Manchester United,Swansea City,2,1,H,2012-2013
2646,Sunderland,Southampton,1,1,D,2012-2013
2645,Queens Park Rangers,Newcastle United,1,2,A,2012-2013
2455,West Ham United,Everton,1,2,A,2012-2013
2642,Everton,West Ham United,2,0,H,2012-2013
2641,Stoke City,Tottenham Hotspur,1,2,A,2012-2013
2640,Aston Villa,Chelsea,1,2,A,2012-2013
2639,Chelsea,Tottenham Hotspur,2,2,D,2012-2013
2638,Wigan Athletic,Swansea City,2,3,A,2012-2013
2637,Manchester City,West Bromwich Albion,1,0,H,2012-2013
2648,Arsenal,Wigan Athletic,4,1,H,2012-2013
2557,Wigan Athletic,Liverpool,0,4,A,2012-2013
2609,Queens Park Rangers,Stoke City,0,2,A,2012-2013
2607,Fulham,Arsenal,0,1,A,2012-2013
2580,Swansea City,Tottenham Hotspur,1,2,A,2012-2013
2579,Southampton,Chelsea,2,1,H,2012-2013
2578,Manchester City,Newcastle United,4,0,H,2012-2013
2577,Arsenal,Reading,4,1,H,2012-2013
2576,Sunderland,Manchester United,0,1,A,2012-2013
2575,Wigan Athletic,Newcastle United,2,1,H,2012-2013
2574,Chelsea,West Ham United,2,0,H,2012-2013
2573,Tottenham Hotspur,Fulham,0,1,A,2012-2013
2572,Sunderland,Norwich City,1,1,D,2012-2013
2571,Manchester United,Reading,1,0,H,2012-2013
2581,West Ham United,West Bromwich Albion,3,1,H,2012-2013
2570,Swansea City,Arsenal,0,2,A,2012-2013
2568,Southampton,Liverpool,3,1,H,2012-2013
2567,Aston Villa,Queens Park Rangers,3,2,H,2012-2013
2566,Everton,Manchester City,2,0,H,2012-2013
2565,Liverpool,Tottenham Hotspur,3,2,H,2012-2013
2564,Newcastle United,Stoke City,2,1,H,2012-2013
2563,West Bromwich Albion,Swansea City,2,1,H,2012-2013
2562,Reading,Aston Villa,1,2,A,2012-2013
2561,Queens Park Rangers,Sunderland,3,1,H,2012-2013
2560,Norwich City,Southampton,0,0,D,2012-2013
2559,Aston Villa,Manchester City,0,1,A,2012-2013
2569,Stoke City,West Bromwich Albion,0,0,D,2012-2013
2608,Norwich City,Reading,2,1,H,2012-2013
2582,Wigan Athletic,Norwich City,1,0,H,2012-2013
2584,Aston Villa,Liverpool,1,2,A,2012-2013
2606,Fulham,Chelsea,0,3,A,2012-2013
2605,West Ham United,Manchester United,2,2,D,2012-2013
2604,Manchester City,Wigan Athletic,1,0,H,2012-2013
2603,Arsenal,Everton,0,0,D,2012-2013
2602,Stoke City,Manchester United,0,2,A,2012-2013
2601,Newcastle United,Sunderland,0,3,A,2012-2013
2600,Southampton,West Ham United,1,1,D,2012-2013
2599,Reading,Liverpool,0,0,D,2012-2013
2598,Everton,Queens Park Rangers,2,0,H,2012-2013
2597,Aston Villa,Fulham,1,1,D,2012-2013
2583,Everton,Stoke City,1,0,H,2012-2013
2596,Arsenal,Norwich City,3,1,H,2012-2013
2594,Queens Park Rangers,Wigan Athletic,1,1,D,2012-2013
2593,Newcastle United,Fulham,1,0,H,2012-2013
2592,Chelsea,Sunderland,2,1,H,2012-2013
2591,Tottenham Hotspur,Everton,2,2,D,2012-2013
2590,Liverpool,West Ham United,0,0,D,2012-2013
2589,West Bromwich Albion,Arsenal,1,2,A,2012-2013
2588,Stoke City,Aston Villa,1,3,A,2012-2013
2587,Norwich City,Swansea City,2,2,D,2012-2013
2586,Reading,Southampton,0,2,A,2012-2013
2585,Fulham,Queens Park Rangers,3,2,H,2012-2013
2595,Manchester United,Manchester City,1,2,A,2012-2013
2454,West Bromwich Albion,Norwich City,2,1,H,2012-2013
2644,Norwich City,West Bromwich Albion,4,0,H,2012-2013
2452,Southampton,Sunderland,0,1,A,2012-2013
2341,Swansea City,Reading,2,2,D,2012-2013
2340,Chelsea,Norwich City,4,1,H,2012-2013
2339,Manchester City,Sunderland,3,0,H,2012-2013
2338,Queens Park Rangers,West Ham United,1,2,A,2012-2013
2337,Aston Villa,West Bromwich Albion,1,1,D,2012-2013
2336,Manchester United,Tottenham Hotspur,2,3,A,2012-2013
2335,Sunderland,Wigan Athletic,1,0,H,2012-2013
2334,Stoke City,Swansea City,2,0,H,2012-2013
2342,West Bromwich Albion,Queens Park Rangers,3,2,H,2012-2013
2333,Reading,Newcastle United,2,2,D,2012-2013
2331,Fulham,Manchester City,1,2,A,2012-2013
2330,Everton,Southampton,3,1,H,2012-2013
2329,Arsenal,Chelsea,1,2,A,2012-2013
2328,Tottenham Hotspur,Queens Park Rangers,2,1,H,2012-2013
2327,Manchester City,Arsenal,1,1,D,2012-2013
2326,Newcastle United,Norwich City,1,0,H,2012-2013
2325,Liverpool,Manchester United,1,2,A,2012-2013
2324,Wigan Athletic,Fulham,1,2,A,2012-2013
2332,Norwich City,Liverpool,2,5,A,2012-2013
2323,West Ham United,Sunderland,1,1,D,2012-2013
2343,Wigan Athletic,Everton,-4,2,D,2012-2013
2345,Southampton,Fulham,2,2,D,2012-2013
2363,Wigan Athletic,West Ham United,2,1,H,2012-2013
2362,Stoke City,Sunderland,0,0,D,2012-2013
2361,Reading,Fulham,3,3,D,2012-2013
2360,Arsenal,Queens Park Rangers,1,0,H,2012-2013
2359,Aston Villa,Norwich City,1,1,D,2012-2013
2358,Queens Park Rangers,Everton,1,1,D,2012-2013
2357,Sunderland,Newcastle United,1,1,D,2012-2013
2356,Norwich City,Arsenal,1,0,H,2012-2013
2344,West Ham United,Arsenal,1,3,A,2012-2013
2355,West Ham United,Southampton,4,1,H,2012-2013
2353,Swansea City,Wigan Athletic,2,1,H,2012-2013
2352,Manchester United,Stoke City,4,2,H,2012-2013
2351,Liverpool,Reading,1,0,H,2012-2013
2350,Fulham,Aston Villa,1,0,H,2012-2013
2349,Tottenham Hotspur,Chelsea,2,4,A,2012-2013
2348,Newcastle United,Manchester United,0,3,A,2012-2013
2347,Tottenham Hotspur,Aston Villa,2,0,H,2012-2013
2346,Liverpool,Stoke City,0,0,D,2012-2013
2354,West Bromwich Albion,Manchester City,1,2,A,2012-2013
2364,Manchester City,Swansea City,1,0,H,2012-2013
2322,West Bromwich Albion,Reading,1,0,H,2012-2013
2320,Chelsea,Stoke City,1,0,H,2012-2013
2297,Chelsea,Newcastle United,2,0,H,2012-2013
2296,Tottenham Hotspur,West Bromwich Albion,1,1,D,2012-2013
2295,Southampton,Wigan Athletic,0,2,A,2012-2013
2294,Norwich City,Queens Park Rangers,1,1,D,2012-2013
2293,Manchester United,Fulham,3,2,H,2012-2013
2292,Aston Villa,Everton,1,3,A,2012-2013
2291,Swansea City,West Ham United,3,0,H,2012-2013
2290,Chelsea,Reading,4,2,H,2012-2013
2298,Stoke City,Arsenal,0,0,D,2012-2013
2289,Everton,Manchester United,1,0,H,2012-2013
2287,Wigan Athletic,Chelsea,0,2,A,2012-2013
2286,Newcastle United,Tottenham Hotspur,2,1,H,2012-2013
2285,West Ham United,Aston Villa,1,0,H,2012-2013
2284,West Bromwich Albion,Liverpool,3,0,H,2012-2013
2283,Reading,Stoke City,1,1,D,2012-2013
2282,Queens Park Rangers,Swansea City,0,5,A,2012-2013
2281,Fulham,Norwich City,5,0,H,2012-2013
2280,Arsenal,Sunderland,0,0,D,2012-2013
2288,Manchester City,Southampton,3,2,H,2012-2013
2321,Southampton,Aston Villa,4,1,H,2012-2013
2299,Liverpool,Manchester City,2,2,D,2012-2013
2301,Swansea City,Sunderland,2,2,D,2012-2013
2319,Swansea City,Everton,0,3,A,2012-2013
2318,Everton,Newcastle United,2,2,D,2012-2013
2317,Reading,Tottenham Hotspur,1,3,A,2012-2013
2316,Sunderland,Liverpool,1,1,D,2012-2013
2315,Stoke City,Manchester City,1,1,D,2012-2013
2314,Queens Park Rangers,Chelsea,0,0,D,2012-2013
2313,Manchester United,Wigan Athletic,4,0,H,2012-2013
2312,Fulham,West Bromwich Albion,3,0,H,2012-2013
2300,West Ham United,Fulham,3,0,H,2012-2013
2311,Aston Villa,Swansea City,2,0,H,2012-2013
2309,Norwich City,West Ham United,0,0,D,2012-2013
2308,Southampton,Manchester United,2,3,A,2012-2013
2307,Newcastle United,Aston Villa,1,1,D,2012-2013
2306,Liverpool,Arsenal,0,2,A,2012-2013
2305,Manchester City,Queens Park Rangers,3,1,H,2012-2013
2304,Wigan Athletic,Stoke City,2,2,D,2012-2013
2303,West Bromwich Albion,Everton,2,0,H,2012-2013
2302,Tottenham Hotspur,Norwich City,1,-4,D,2012-2013
2310,Arsenal,Southampton,6,1,H,2012-2013
2365,Everton,Liverpool,2,2,D,2012-2013
2453,Tottenham Hotspur,Stoke City,0,0,D,2012-2013
2367,Southampton,Tottenham Hotspur,1,2,A,2012-2013
2429,Arsenal,West Bromwich Albion,2,0,H,2012-2013
2428,Newcastle United,Wigan Athletic,3,0,H,2012-2013
2427,Norwich City,Sunderland,2,1,H,2012-2013
2426,Reading,Manchester United,3,4,A,2012-2013
2425,West Bromwich Albion,Stoke City,0,1,A,2012-2013
2424,Queens Park Rangers,Aston Villa,1,1,D,2012-2013
2423,Manchester City,Everton,1,1,D,2012-2013
2422,Liverpool,Southampton,1,0,H,2012-2013
2430,Aston Villa,Stoke City,0,0,D,2012-2013
2421,Fulham,Tottenham Hotspur,0,-4,A,2012-2013
2419,West Ham United,Chelsea,3,1,H,2012-2013
2418,Wigan Athletic,Manchester City,0,2,A,2012-2013
2417,Manchester United,West Ham United,1,-2,H,2012-2013
2416,Tottenham Hotspur,Liverpool,2,1,H,2012-2013
2415,Swansea City,West Bromwich Albion,3,1,H,2012-2013
2414,Stoke City,Newcastle United,2,1,H,2012-2013
2413,Southampton,Norwich City,1,1,D,2012-2013
2412,Everton,Arsenal,1,1,D,2012-2013
2420,Arsenal,Swansea City,0,2,A,2012-2013
2411,Chelsea,Fulham,0,0,D,2012-2013
2431,Southampton,Reading,1,0,H,2012-2013
2433,Swansea City,Norwich City,3,4,A,2012-2013
2366,Newcastle United,West Bromwich Albion,2,1,H,2012-2013
2451,Newcastle United,Queens Park Rangers,1,0,H,2012-2013
2450,Manchester City,Reading,1,0,H,2012-2013
2449,Wigan Athletic,Arsenal,0,1,A,2012-2013
2448,Reading,Arsenal,2,5,A,2012-2013
2447,West Bromwich Albion,West Ham United,0,0,D,2012-2013
2446,Tottenham Hotspur,Swansea City,1,0,H,2012-2013
2445,Stoke City,Everton,1,1,D,2012-2013
2432,Sunderland,Chelsea,1,3,A,2012-2013
2444,Queens Park Rangers,Fulham,2,1,H,2012-2013
2442,Manchester United,Sunderland,3,1,H,2012-2013
2441,Liverpool,Aston Villa,1,3,A,2012-2013
2440,Newcastle United,Manchester City,1,3,A,2012-2013
2439,Sunderland,Reading,3,0,H,2012-2013
2438,Fulham,Newcastle United,2,1,H,2012-2013
2437,West Ham United,Liverpool,2,3,A,2012-2013
2436,Everton,Tottenham Hotspur,2,1,H,2012-2013
2435,Manchester City,Manchester United,2,3,A,2012-2013
2443,Norwich City,Wigan Athletic,2,1,H,2012-2013
2410,Aston Villa,Reading,1,0,H,2012-2013
2434,Wigan Athletic,Queens Park Rangers,2,2,D,2012-2013
2408,Tottenham Hotspur,West Ham United,3,1,H,2012-2013
2385,Aston Villa,Manchester United,2,3,A,2012-2013
2384,Wigan Athletic,West Bromwich Albion,1,2,A,2012-2013
2383,Stoke City,Queens Park Rangers,1,0,H,2012-2013
2382,Southampton,Swansea City,1,1,D,2012-2013
2381,Reading,Norwich City,0,0,D,2012-2013
2380,Everton,Sunderland,2,1,H,2012-2013
2379,Arsenal,Fulham,3,3,D,2012-2013
2378,West Bromwich Albion,Southampton,2,0,H,2012-2013
2386,Manchester City,Tottenham Hotspur,2,1,H,2012-2013
2376,Queens Park Rangers,Reading,1,1,D,2012-2013
2374,Tottenham Hotspur,Wigan Athletic,0,1,A,2012-2013
2373,Swansea City,Chelsea,1,1,D,2012-2013
2372,Sunderland,Aston Villa,0,1,?,2012-2013
2371,Norwich City,Stoke City,1,0,H,2012-2013
2370,Fulham,Everton,2,2,D,2012-2013
2369,Manchester United,Arsenal,2,1,H,2012-2013
2409,Sunderland,Queens Park Rangers,0,0,D,2012-2013
2368,Chelsea,Manchester United,2,3,A,2012-2013
2375,West Ham United,Manchester City,0,0,D,2012-2013
2387,Newcastle United,West Ham United,0,1,A,2012-2013
2377,Liverpool,Newcastle United,1,1,D,2012-2013
2389,Arsenal,Tottenham Hotspur,5,2,H,2012-2013
2407,Chelsea,Manchester City,0,0,D,2012-2013
2406,Southampton,Newcastle United,2,0,H,2012-2013
2388,Chelsea,Liverpool,1,1,D,2012-2013
2405,Swansea City,Liverpool,0,0,D,2012-2013
2404,Aston Villa,Arsenal,0,0,D,2012-2013
2403,Wigan Athletic,Reading,-2,2,H,2012-2013
2402,Stoke City,Fulham,1,0,H,2012-2013
2400,Everton,Norwich City,1,1,D,2012-2013
2399,Sunderland,West Bromwich Albion,2,4,A,2012-2013
2398,West Ham United,Stoke City,1,1,D,2012-2013
2401,Manchester United,Queens Park Rangers,3,1,H,2012-2013
2397,Fulham,Sunderland,1,3,A,2012-2013
2396,Norwich City,Manchester United,1,0,H,2012-2013
2395,West Bromwich Albion,Chelsea,2,1,H,2012-2013
2394,Reading,Everton,2,1,H,2012-2013
2393,Queens Park Rangers,Southampton,1,3,A,2012-2013
2392,Newcastle United,Swansea City,1,2,A,2012-2013
2391,Manchester City,Aston Villa,5,0,H,2012-2013
2390,Liverpool,Wigan Athletic,3,0,H,2012-2013
2908,Tottenham Hotspur,Everton,1,0,H,2013-2014
2901,Aston Villa,West Ham United,0,2,A,2013-2014
2902,Chelsea,Newcastle United,3,0,H,2013-2014
2903,Crystal Palace,West Bromwich Albion,3,1,?,2013-2014
2905,Southampton,Stoke City,2,2,D,2013-2014
2907,Swansea City,Cardiff City,3,0,H,2013-2014
2906,Sunderland,Hull City,0,2,A,2013-2014
2900,Liverpool,Arsenal,5,1,H,2013-2014
2904,Norwich City,Manchester City,0,0,?,2013-2014
2899,Manchester City,Chelsea,0,1,A,2013-2014
2891,West Ham United,Swansea City,2,0,H,2013-2014
2897,West Bromwich Albion,Liverpool,1,1,D,2013-2014
2896,Stoke City,Manchester United,2,1,H,2013-2014
2895,Hull City,Tottenham Hotspur,1,1,D,2013-2014
2894,Fulham,Southampton,0,3,A,2013-2014
2893,Everton,Aston Villa,2,1,H,2013-2014
2892,Cardiff City,Norwich City,2,1,H,2013-2014
2890,Newcastle United,Sunderland,0,3,A,2013-2014
2889,Tottenham Hotspur,Manchester City,1,5,A,2013-2014
2909,Manchester United,Fulham,2,2,D,2013-2014
2888,Sunderland,Stoke City,1,0,H,2013-2014
2898,Arsenal,Crystal Palace,2,0,H,2013-2014
2910,Cardiff City,Aston Villa,0,0,D,2013-2014
2930,Hull City,Newcastle United,1,4,A,2013-2014
2912,West Ham United,Norwich City,2,0,?,2013-2014
2887,Chelsea,West Ham United,0,0,D,2013-2014
